Pitch,Loudness,Brightness,Noisiness,Sample
5355.312729,-9.797400,5038.459052,0.929074,1
3745.727708,-5.129628,4994.703711,0.943297,1
3745.422484,-4.076700,5026.652441,0.914187,1
3921.803865,-5.341814,5427.233212,0.915430,1
4015.104776,-6.566887,5727.382153,0.937937,1
450.552315,-13.097646,5025.227291,0.925897,1
328.306974,-5.517332,1689.371708,0.707885,1
299.031100,-6.268194,1475.593415,0.604210,1
297.886605,-4.628038,1556.533276,0.569730,1
299.302372,-4.077044,1582.091440,0.566391,1
297.033927,-3.517580,1547.497890,0.561210,1
298.241355,-4.732877,1542.848787,0.565576,1
291.355834,-4.182804,1550.690900,0.574737,1
295.775197,-2.256880,1466.829729,0.539069,1
299.398146,-2.390524,1501.979838,0.527065,1
300.621434,-1.428923,1494.543515,0.519017,1
452.410776,-4.178375,1336.432445,0.557012,1
258.913242,-7.239609,1438.794314,0.599088,1
295.222510,-7.314646,1526.834089,0.590794,1
224.592187,-5.734052,1476.368501,0.587649,1
236.712565,-5.261660,1384.040346,0.554304,1
354.681847,-4.259829,1328.173507,0.548241,1
339.950858,-5.941115,1350.854904,0.563340,1
323.050697,-6.481324,1458.112696,0.577132,1
318.550425,-5.629537,1425.610867,0.567910,1
294.956096,-6.268099,1289.586029,0.558743,1
297.284141,-3.963353,1389.744304,0.548307,1
296.383991,-4.420620,1468.577855,0.545375,1
361.909475,-6.599386,1514.188353,0.613280,1
363.193679,-7.862062,1451.443659,0.626780,1
343.588668,-5.583964,1505.166106,0.565385,1
333.604410,-3.403252,1409.824929,0.523460,1
324.342571,-4.379703,1475.394439,0.563563,1
324.503207,-5.449362,1455.068656,0.567415,1
299.174455,-3.311288,1312.661950,0.547195,1
291.807393,-4.588005,1369.968005,0.554754,1
293.168628,-5.413609,1375.188939,0.562122,1
2593.904076,-3.949482,3173.793091,0.868686,1
2930.597886,-3.804554,4133.964338,0.895548,1
2933.213414,-4.518910,4247.578919,0.905581,1
237.387163,-4.602075,3609.806694,0.884738,1
2875.909192,-5.170566,3971.325113,0.890410,1
3666.164898,-4.657448,4842.755031,0.911062,1
2931.161615,-2.373289,3614.185206,0.862056,1
2933.511342,-3.211843,3440.888041,0.891936,1
2884.288022,-4.644088,3649.170909,0.860706,1
3825.207508,-3.917263,3652.651885,0.871131,1
2934.109111,-4.013426,4571.744276,0.895278,1
4095.500017,-3.792030,3617.007027,0.877634,1
4094.415938,-4.496231,4038.694605,0.879335,1
2924.429881,-5.063962,4188.747427,0.871561,1
4087.759510,-5.551153,3999.940500,0.890203,1
4089.574673,-3.491753,3837.718907,0.899530,1
2804.364677,-3.689849,4187.373651,0.898633,1
2812.781186,-4.120318,4210.497391,0.874102,1
4212.020353,-3.659334,4354.485469,0.887471,1
